,time_step,outcome_type,stimulus,outcome,stage
0,37508,C1S9,0,3,stable
1,46364,C1S8,1,2,stable
2,68304,C1S7,1,1,stable
3,76312,C1S7,1,1,stable
4,83647,C1S7,1,1,stable
5,91357,C1S9,0,3,stable
6,100230,C1S9,0,3,stable
7,108472,C1S9,0,3,stable
8,116042,C1S9,0,3,stable
9,124185,C1S9,0,3,stable
10,132808,C1S9,0,3,stable
11,139211,C1S7,1,1,stable
12,147482,C1S9,0,3,stable
13,155629,C1S9,0,3,stable
14,162128,C1S7,1,1,stable
15,169171,C1S7,1,1,stable
16,175715,C1S7,1,1,stable
17,181868,C1S7,1,1,stable
18,188076,C1S7,1,1,stable
19,197340,C1S9,0,3,stable
20,206266,C1S9,0,3,stable
21,212575,C1S7,1,1,stable
22,221840,C1S9,0,3,stable
23,227264,C1S7,1,1,stable
24,236327,C1S9,0,3,stable
25,244042,C1S9,0,3,stable
26,251002,C1S7,1,1,stable
27,259016,C1S8,1,2,stable
28,266750,C1S9,0,3,stable
29,275616,C1S9,0,3,stable
30,282371,C1S7,1,1,stable
31,289706,C1S7,1,1,stable
32,298916,C1S9,0,3,stable
33,305658,C1S7,1,1,stable
34,312016,C1S7,1,1,stable
35,321514,C1S9,0,3,stable
36,330400,C1S9,0,3,stable
37,339110,C1S9,0,3,stable
38,346450,C1S9,0,3,stable
39,353427,C1S7,1,1,stable
40,359738,C1S7,1,1,stable
41,367219,C1S7,1,1,stable
42,373752,C1S7,1,1,stable
43,380101,C1S7,1,1,stable
44,389101,C1S9,0,3,stable
45,394315,C1S7,1,1,stable
46,400502,C1S7,1,1,stable
47,409540,C1S9,0,3,stable
48,418482,C1S9,0,3,stable
49,426510,C1S9,0,3,stable
50,432571,C1S7,1,1,stable
51,440868,C1S9,0,3,stable
52,447092,C1S7,1,1,stable
53,454402,C1S7,1,1,stable
54,460789,C1S7,1,1,stable
55,469346,C1S9,0,3,stable
56,484203,C1S8,1,2,stable
57,492328,C1S8,1,2,stable
58,499540,C1S9,0,3,stable
59,506003,C1S7,1,1,stable
60,515558,C1S9,0,3,stable
61,520833,C1S7,1,1,stable
62,528668,C1S9,0,3,stable
63,536678,C1S9,0,3,stable
64,544281,C1S9,0,3,stable
65,553080,C1S9,0,3,stable
66,560554,C1S9,0,3,stable
67,569124,C1S9,0,3,stable
68,574988,C1S7,1,1,stable
69,583186,C1S9,0,3,stable
70,590465,C1S9,0,3,stable
71,598458,C1S9,0,3,stable
72,605293,C1S7,1,1,stable
73,614825,C1S9,0,3,stable
74,619926,C1S7,1,1,stable
75,629044,C1S9,0,3,stable
76,636892,C1S9,0,3,stable
77,644111,C1S9,0,3,stable
78,652179,C1S9,0,3,stable
79,659484,C1S9,0,3,stable
80,665029,C1S7,1,1,stable
81,38905,C1S9,0,3,uncertain
82,47479,C1S9,0,3,uncertain
83,52844,C1S7,1,1,uncertain
84,59085,C1S7,1,1,uncertain
85,65340,C1S7,1,1,uncertain
86,71171,C1S7,1,1,uncertain
87,83717,C1S7,1,1,uncertain
88,96316,C1S7,1,1,uncertain
89,111200,C1S11,1,5,uncertain
90,118485,C1S7,1,1,uncertain
91,125289,C1S7,1,1,uncertain
92,132636,C1S7,1,1,uncertain
93,141674,C1S9,0,3,uncertain
94,148448,C1S11,1,5,uncertain
95,155641,C1S7,1,1,uncertain
96,162572,C1S7,1,1,uncertain
97,169451,C1S7,1,1,uncertain
98,177853,C1S9,0,3,uncertain
99,184275,C1S7,1,1,uncertain
100,191863,C1S7,1,1,uncertain
